id,language,sentence,tokenized_sentence,expression,category,indices
1,tr,"Ödevler, Sınavlar, Evet yaşanması gereken zamanımızı öldürüyorlar.","['Ödevler', ',', 'Sınavlar', ',', 'Evet', 'yaşanması', 'gereken', 'zamanımızı', 'öldürüyorlar', '.']",zaman öldürmek,idiomatic,"[7, 8]"
2,tr,Belediye bugün yolları açtı.,"['Belediye', 'bugün', 'yolları', 'açtı', '.']",yol açmak,literal,[-1]
3,tr,Planı ortaya çıkmasın diye elinden geleni yapmış.,"['Planı', 'ortaya', 'çıkmasın', 'diye', 'elinden', 'geleni', 'yapmış', '.']",ortaya çıkmak,idiomatic,"[1, 2]"
4,tr,Aldığın bunca tedbire rağmen halen üstüne geliyorlar,"['Aldığın', 'bunca', 'tedbire', 'rağmen', 'halen', 'üstüne', 'geliyorlar']",üstüne almak,literal,[-1]
5,tr,"Yazdıkların yanlış olmuş, istersen defterden silip düzelt yazdıklarını.","['Yazdıkların', 'yanlış', 'olmuş', ',', 'istersen', 'defterden', 'silip', 'düzelt', 'yazdıklarını', '.']",defterden silmek,literal,[-1]
6,tr,"Üstüme bu kadar gelme, çık git bu evden.","['Üstüme', 'bu', 'kadar', 'gelme', ',', 'çık', 'git', 'bu', 'evden', '.']",üste çıkmak,literal,[-1]
7,tr,Biz mi hesap verecek mişiz?,"['Biz', 'mi', 'hesap', 'verecek', 'mişiz', '?']",hesap vermek,idiomatic,"[2, 3]"
8,tr,Hatıra kalsın diye köyünden küçük bir yer aldı.,"['Hatıra', 'kalsın', 'diye', 'köyünden', 'küçük', 'bir', 'yer', 'aldı', '.']",yer almak,literal,[-1]
9,tr,"Karşı karşıya gelip, rekabet yaratmanız Dodo’nun çıkar sağlamasına yardımcı oldu","['Karşı', 'karşıya', 'gelip', ',', 'rekabet', 'yaratmanız', 'Dodo', '’', 'nun', 'çıkar', 'sağlamasına', 'yardımcı', 'oldu']",karşı çıkmak,literal,[-1]
10,tr,kitap hakkında yapılan yorumlara karşı çıkmak zorunda kaldı,"['kitap', 'hakkında', 'yapılan', 'yorumlara', 'karşı', 'çıkmak', 'zorunda', 'kaldı']",karşı çıkmak,idiomatic,"[4, 5]"
11,tr,Üst üste ateşi çıkan hastaları karantinaya aldık,"['Üst', 'üste', 'ateşi', 'çıkan', 'hastaları', 'karantinaya', 'aldık']",üste çıkmak,literal,[-1]
12,tr,Her zaman kazandıklarımı ve kaybettimlerimi analiz ederim,"['Her', 'zaman', 'kazandıklarımı', 've', 'kaybettimlerimi', 'analiz', 'ederim']",zaman kazanmak,literal,[-1]
13,tr,denizin üstünden aldığı algler ekosistemin parçalından biriydi,"['denizin', 'üstünden', 'aldığı', 'algler', 'ekosistemin', 'parçalından', 'biriydi']",üstüne almak,literal,[-1]
14,tr,Yanan yağ tavanın dibinde iz bıraktı.,"['Yanan', 'yağ', 'tavanın', 'dibinde', 'iz', 'bıraktı', '.']",iz bırakmak,literal,[-1]
15,tr,"Çocuk, kaldırımda el açtı.","['Çocuk', ',', 'kaldırımda', 'el', 'açtı', '.']",el açmak,idiomatic,"[3, 4]"
16,tr,Masanın tam ortasına koyduğu vazonun içinde tek bir kırmızı gül vardı.,"['Masanın', 'tam', 'ortasına', 'koyduğu', 'vazonun', 'içinde', 'tek', 'bir', 'kırmızı', 'gül', 'vardı', '.']",ortaya koymak,literal,[-1]
17,tr,Ortaya koyduğu her bir argümanın tek tek çürütüldüğünü anladığında sinirlerine hakim olamadı.,"['Ortaya', 'koyduğu', 'her', 'bir', 'argümanın', 'tek', 'tek', 'çürütüldüğünü', 'anladığında', 'sinirlerine', 'hakim', 'olamadı', '.']",ortaya koymak,idiomatic,"[0, 1]"
18,tr,"İçim eriyor sen gittin gideli, dışım yanıyor bir Aralık akşamında.","['İçim', 'eriyor', 'sen', 'gittin', 'gideli', ',', 'dışım', 'yanıyor', 'bir', 'Aralık', 'akşamında', '.']",içi erimek,idiomatic,"[0, 1]"
19,tr,Meydana daha sonra gelen felaketler bu devletin de sonunu getirmişti.,"['Meydana', 'daha', 'sonra', 'gelen', 'felaketler', 'bu', 'devletin', 'de', 'sonunu', 'getirmişti', '.']",meydana gelmek,idiomatic,"[0, 3]"
20,tr,sıkı dur hadi az kaldı,"['sıkı', 'dur', 'hadi', 'az', 'kaldı']",sıkı durmak,idiomatic,"[0, 1]"
21,tr,"Çok ayıp etmiş, onu defterden silsen yeridir.","['Çok', 'ayıp', 'etmiş', ',', 'onu', 'defterden', 'silsen', 'yeridir', '.']",defterden silmek,idiomatic,"[5, 6]"
22,tr,Annem öç ok sıkı kurallarla duruyor,"['Annem', 'öç', 'ok', 'sıkı', 'kurallarla', 'duruyor']",sıkı durmak,idiomatic,"[3, 5]"
23,tr,Ele almak gerekli mi sizce bu problemi?,"['Ele', 'almak', 'gerekli', 'mi', 'sizce', 'bu', 'problemi', '?']",ele almak,idiomatic,"[0, 1]"
24,tr,"sıkı durun mehmetçikler, zafer bizimdir","['sıkı', 'durun', 'mehmetçikler', ',', 'zafer', 'bizimdir']",sıkı durmak,idiomatic,"[0, 1]"
25,tr,Steam deki hesabını vermek istememiş,"['Steam', 'deki', 'hesabını', 'vermek', 'istememiş']",hesap vermek,literal,[-1]
26,tr,Ortaya koyduğun performans harikaydı.,"['Ortaya', 'koyduğun', 'performans', 'harikaydı', '.']",ortaya koymak,idiomatic,"[0, 1]"
27,tr,Söylediklerimi dinlemeden karşı çıkıyorsun,"['Söylediklerimi', 'dinlemeden', 'karşı', 'çıkıyorsun']",karşı çıkmak,idiomatic,"[2, 3]"
28,tr,Ağırlık verdim eksik konulara,"['Ağırlık', 'verdim', 'eksik', 'konulara']",ağırlık vermek,idiomatic,"[0, 1]"
29,tr,Bu konuya yer de vermek isterim ama yeterli vaktimiz yok.,"['Bu', 'konuya', 'yer', 'de', 'vermek', 'isterim', 'ama', 'yeterli', 'vaktimiz', 'yok', '.']",yer vermek,idiomatic,"[2, 4]"
30,tr,ilk maaşımı alınca veresiye defterinden adımı sildireceğim,"['ilk', 'maaşımı', 'alınca', 'veresiye', 'defterinden', 'adımı', 'sildireceğim']",defterden silmek,literal,[-1]
31,tr,Ağaçları kesilen o meydanın ne hale geldiğine inanamayacaksın,"['Ağaçları', 'kesilen', 'o', 'meydanın', 'ne', 'hale', 'geldiğine', 'inanamayacaksın']",meydana gelmek,literal,[-1]
32,tr,Zamanında ektiğim incir ağacı etrafında ki bitkileri öldürüyor,"['Zamanında', 'ektiğim', 'incir', 'ağacı', 'etrafında', 'ki', 'bitkileri', 'öldürüyor']",zaman öldürmek,literal,[-1]
33,tr,Bu işin sonunda hesap veren sen olacaksın,"['Bu', 'işin', 'sonunda', 'hesap', 'veren', 'sen', 'olacaksın']",hesap vermek,idiomatic,"[3, 4]"
34,tr,Üst üste kendi içi aldığı kararlar onu zor duruma düşürdü.,"['Üst', 'üste', 'kendi', 'içi', 'aldığı', 'kararlar', 'onu', 'zor', 'duruma', 'düşürdü', '.']",üstüne almak,literal,[-1]
35,tr,Tatilciler sahillerde yerlerini aldılar.,"['Tatilciler', 'sahillerde', 'yerlerini', 'aldılar', '.']",yer almak,idiomatic,"[2, 3]"
36,tr,Asansörde direk karşıma o çıktı,"['Asansörde', 'direk', 'karşıma', 'o', 'çıktı']",karşı çıkmak,literal,[-1]
37,tr,Saçlarımı bir ton açarken ellerim hep boya oldu,"['Saçlarımı', 'bir', 'ton', 'açarken', 'ellerim', 'hep', 'boya', 'oldu']",el açmak,literal,[-1]
38,tr,Meydana Noel babanın gelmesi çocukları sevindirdi.,"['Meydana', 'Noel', 'babanın', 'gelmesi', 'çocukları', 'sevindirdi', '.']",meydana gelmek,literal,[-1]
39,tr,"Ayakta güçlükle dururken, sıkı sıkı sarılarak birbirimize destek olduk","['Ayakta', 'güçlükle', 'dururken', ',', 'sıkı', 'sıkı', 'sarılarak', 'birbirimize', 'destek', 'olduk']",sıkı durmak,literal,[-1]
40,tr,suya ulaşmak için dağın eteklerinde üste doğru çıkmamız gerek,"['suya', 'ulaşmak', 'için', 'dağın', 'eteklerinde', 'üste', 'doğru', 'çıkmamız', 'gerek']",üste çıkmak,literal,[-1]
41,tr,Başak hanım birinciliği elimden alarak adeta yaralı parmağıma tuz basmıştı,"['Başak', 'hanım', 'birinciliği', 'elimden', 'alarak', 'adeta', 'yaralı', 'parmağıma', 'tuz', 'basmıştı']",parmak basmak,literal,[-1]
42,tr,"Bu projede üstüne sorumluluk mu alacakmış, çok şaşırdım doğrusu","['Bu', 'projede', 'üstüne', 'sorumluluk', 'mu', 'alacakmış', ',', 'çok', 'şaşırdım', 'doğrusu']",üstüne almak,idiomatic,"[2, 5]"
43,tr,Buradan geçerken dikkatli ol sonra  başın ağrımasın.,"['Buradan', 'geçerken', 'dikkatli', 'ol', 'sonra', 'başın', 'ağrımasın', '.']",başa geçmek,literal,[-1]
44,tr,Herkese karşı çıkmak muhalif kişilerin bir alışkanlığı sanırım.,"['Herkese', 'karşı', 'çıkmak', 'muhalif', 'kişilerin', 'bir', 'alışkanlığı', 'sanırım', '.']",karşı çıkmak,idiomatic,"[1, 2]"
45,tr,"İstiyoruz ki toplumumuzun her kesimi bu alanda üzerine düşeni yapsın, kabiliyetini ortaya koysun.","['İstiyoruz', 'ki', 'toplumumuzun', 'her', 'kesimi', 'bu', 'alanda', 'üzerine', 'düşeni', 'yapsın', ',', 'kabiliyetini', 'ortaya', 'koysun', '.']",ortaya koymak,idiomatic,"[12, 13]"
46,tr,Hesabını veremeyeceğin sorumluluğun altına girme!,"['Hesabını', 'veremeyeceğin', 'sorumluluğun', 'altına', 'girme', '!']",hesap vermek,idiomatic,"[0, 1]"
47,tr,Geçen toplantıda müdür sayıp dökmekten başka birşey konuşulmadı.,"['Geçen', 'toplantıda', 'müdür', 'sayıp', 'dökmekten', 'başka', 'birşey', 'konuşulmadı', '.']",sayıp dökmek,idiomatic,"[3, 4]"
48,tr,Matematikçimiz her sınavdan önce “Bu sefer ayvayı yediniz” diye anlamsız bir şaka yapardı.,"['Matematikçimiz', 'her', 'sınavdan', 'önce', '“', 'Bu', 'sefer', 'ayvayı', 'yediniz', '”', 'diye', 'anlamsız', 'bir', 'şaka', 'yapardı', '.']",ayvayı yemek,idiomatic,"[7, 8]"
49,tr,Bu yarıştan birinci çıkmak ona karşı kazandığım ilk zafer değil,"['Bu', 'yarıştan', 'birinci', 'çıkmak', 'ona', 'karşı', 'kazandığım', 'ilk', 'zafer', 'değil']",karşı çıkmak,literal,[-1]
50,tr,Kayalıklara çıkan kız karşı kıyıyı zor görüyordu,"['Kayalıklara', 'çıkan', 'kız', 'karşı', 'kıyıyı', 'zor', 'görüyordu']",karşı çıkmak,literal,[-1]
51,tr,Tehlikelere karşı balkona çıkıp nöbet tuttular.,"['Tehlikelere', 'karşı', 'balkona', 'çıkıp', 'nöbet', 'tuttular', '.']",karşı çıkmak,literal,[-1]
52,tr,Lokanta da hesabı veremeyince bize bulaşıklar kaldı😅,"['Lokanta', 'da', 'hesabı', 'veremeyince', 'bize', 'bulaşıklar', 'kaldı😅']",hesap vermek,literal,[-1]
53,tr,Tüm koltuklar dolu olunca bana kendi yerini verdi.,"['Tüm', 'koltuklar', 'dolu', 'olunca', 'bana', 'kendi', 'yerini', 'verdi', '.']",yer vermek,literal,[-1]
54,tr,Terapistinin isteği üzerine gözlerini yumdu ve geçmişte onu çok üzen bir anısını düşünmeye başladı.,"['Terapistinin', 'isteği', 'üzerine', 'gözlerini', 'yumdu', 've', 'geçmişte', 'onu', 'çok', 'üzen', 'bir', 'anısını', 'düşünmeye', 'başladı', '.']",göz yummak,literal,[-1]
55,tr,"Basamak bile yaptın ya beni, helal olsun!","['Basamak', 'bile', 'yaptın', 'ya', 'beni', ',', 'helal', 'olsun', '!']",basamak yapmak,idiomatic,"[0, 2]"
56,tr,Buradan her geçtiğinde başına kötü bir şey geleceğine inanıyor,"['Buradan', 'her', 'geçtiğinde', 'başına', 'kötü', 'bir', 'şey', 'geleceğine', 'inanıyor']",başa geçmek,literal,[-1]
57,tr,Duman grubu hiç sıkı durmaz.,"['Duman', 'grubu', 'hiç', 'sıkı', 'durmaz', '.']",sıkı durmak,literal,[-1]
58,tr,"Zaman kazanmaya odaklanmıştım, gözüm hiçbir şey görmüyordu.","['Zaman', 'kazanmaya', 'odaklanmıştım', ',', 'gözüm', 'hiçbir', 'şey', 'görmüyordu', '.']",zaman kazanmak,idiomatic,"[0, 1]"
59,tr,Çelenkleri koymak için bütün partiler meydana geldi,"['Çelenkleri', 'koymak', 'için', 'bütün', 'partiler', 'meydana', 'geldi']",meydana gelmek,literal,[-1]
60,tr,Sevgilimin karşısına bu kılıkla mı çıkacağım?,"['Sevgilimin', 'karşısına', 'bu', 'kılıkla', 'mı', 'çıkacağım', '?']",karşı çıkmak,literal,[-1]
61,tr,Televizyon izleyerek bütün zamanını öldürüyordu,"['Televizyon', 'izleyerek', 'bütün', 'zamanını', 'öldürüyordu']",zaman öldürmek,idiomatic,"[3, 4]"
62,tr,Oğlum her fırsatta bir bahane öne sürüyor dışarı çıkmamak için.,"['Oğlum', 'her', 'fırsatta', 'bir', 'bahane', 'öne', 'sürüyor', 'dışarı', 'çıkmamak', 'için', '.']",öne sürmek,idiomatic,"[5, 6]"
63,tr,üstüne aldığın bu pisliğin farkında mısın dostun,"['üstüne', 'aldığın', 'bu', 'pisliğin', 'farkında', 'mısın', 'dostun']",üstüne almak,idiomatic,"[0, 1]"
